16777216	16777471	33701
16777472	16778239	30700
16778240	16779263	33701
16779264	16781311	30100
16781312	16785407	34201
16785408	16793599	30100
16793600	16809983	34201
16809984	16842751	34201
16842752	16843007	30700
16843008	16843263	33701
16843264	16844799	30700
16844800	16859135	30100
16859136	16875519	34201
16875520	16908287	34201
16908288	16908799	30700
16908800	16909055	30201
16909056	16909311	33701
16909312	16909567	30201
16909568	16910335	30700
16910336	16941055	30100
16941056	16973823	34201
16973824	17039359	30100
17039360	17039615	33701
17039616	17040383	30700
17040384	17040639	30201
17040640	17041407	30700
17041408	17072127	30100
17072128	17104895	34201
17104896	17170431	34201
17170432	17301503	34201
17301504	17367039	30201
17367040	17432575	34201
17432576	17434623	30100
17434624	17435135	30700
17435136	17435391	33701
17435392	17436671	30700
17436672	17465343	30100
17465344	17498111	34201
17498112	17563647	34201
17563648	17825791	30201
17825792	18087935	34201
18087936	18153471	34201
18153472	18219007	34201
18219008	18350079	34201
18350080	18352127	32600
18352128	18354175	32601
18354176	18356223	32600
18356224	18358271	32611
18358272	18360319	32602
18360320	18366463	32601
18366464	18370559	32612
18370560	18374655	32602
18374656	18382847	32603
18382848	18384895	32605
18384896	18387967	32611
18387968	18391039	32604
18391040	18393087	32605
18393088	18395135	32601
18395136	18397183	32612
18397184	18398207	32604
18398208	18399231	32605
18399232	18401279	32602
18401280	18405375	32606
18405376	18405381	32600
18405382	18406399	32603
18406400	18410495	32605
18410496	18411519	32602
18411520	18412543	32606
18412544	18413567	32604
18413568	18415615	32601
18415616	18417663	32602
18417664	18419711	32606
18419712	18421759	32604
18421760	18427903	32602
18427904	18433023	32605
18433024	18434047	32600
18434048	18439167	32601
18439168	18440191	32602
18440192	18441215	32603
18441216	18444287	32606
18444288	18446335	32601
18446336	18448383	32605
18448384	18450431	32602
18450432	18454527	32606
18454528	18466815	32601
18466816	18473983	32605
18473984	18481151	32603
18481152	18489343	32607
18489344	18505727	32600
18505728	18518015	32608
18518016	18519039	32607
18519040	18522111	32609
18522112	18524159	32610
18524160	18525183	32600
18525184	18527231	32609
18527232	18531327	32608
18531328	18534399	32607
18534400	18535423	32609
18535424	18536447	32600
18536448	18537471	32607
18537472	18543615	32610
18543616	18546687	32607
18546688	18550783	32610
18550784	18554879	32607
18554880	18563071	32608
18563072	18569215	32607
18569216	18573311	32608
18573312	18575359	32600
18575360	18584575	32610
18584576	18585599	32607
18585600	18591743	32609
18591744	18600959	32608
18600960	18605055	32607
18605056	18607103	32608
18607104	18608127	32607
18608128	18609151	32610
18609152	18610175	32600
18610176	18611199	32609
18611200	18612223	32600
18612224	18616319	32605
18616320	18620415	32602
18620416	18628607	32606
18628608	18630655	32600
18630656	18631679	32610
18631680	18632703	32605
18632704	18634751	32604
18634752	18640895	32606
18640896	18641919	32605
18641920	18643967	32600
18643968	18644223	32611
18644224	18646015	32600
18646016	18647039	32606
18647040	18648063	32610
18648064	18649087	32602
18649088	18651135	32600
18651136	18652159	32604
18652160	18653183	32602
18653184	18655231	32604
18655232	18658303	32600
18658304	18659327	32606
18659328	18674687	32605
18674688	18675711	32604
18675712	18677759	32605
18677760	18683903	32607
18683904	18687999	32608
18688000	18688511	32600
18688512	18692095	32610
18692096	18693119	32600
18693120	18695167	32607
18695168	18710527	32608
18710528	18715647	32607
18715648	18716671	32600
18716672	18717695	32610
18717696	18719743	32608
18719744	18721791	32610
18721792	18723839	32609
18723840	18725887	32611
18725888	18728959	32609
18728960	18729983	32610
18729984	18732031	32600
18732032	18734079	32607
18734080	18735103	32600
18735104	18737151	32610
18737152	18741247	32600
18741248	18743295	32607
18743296	18745343	32606
18745344	18748415	32600
18748416	18749439	32604
18749440	18751487	32606
18751488	18753535	32604
18753536	18756607	32602
18756608	18760703	32601
18760704	18766847	32606
18766848	18769919	32602
18769920	18771967	32604
18771968	18792447	32606
18792448	18793471	32604
18793472	18803711	32600
18803712	18804735	32612
18804736	18806783	32600
18806784	18808831	32605
18808832	18810879	32608
18810880	18817023	32600
18817024	18818047	32606
18818048	18857983	32600
18857984	18859007	32602
18859008	18874367	32600
18874368	18939903	32501
18939904	19005439	34201
19005440	19136511	32701
19136512	19202047	32501
19202048	19267583	34201
19267584	19398655	34201
19398656	19726335	33701
19726336	19791871	30201
19791872	19922943	34201
19922944	19929087	32408
